"ID","YEAR","MONTH","MAIN","BAKER","BLUEBONNET","CARVER","CENTRAL","DELMONT GARDENS","EDEN PARK","FAIRWOOD","GREENWELL SPRINGS","JONES CREEK","PRIDE","RIVER CENTER","SCOTLANDVILLE","SOUTH","ZACHARY","OUTREACH","HOTSPOT CHECKOUT TOTAL"
"202510","2025","October","62","31","35","20","19","47","23","27","13","26","39","17","29","29","15","19","451"
"202509","2025","September","70","40","37","28","20","54","28","29","19","26","23","43","30","28","33","15","523"
"202508","2025","August","88","46","41","20","17","48","35","27","17","40","49","21","29","37","19","23","557"
"202507","2025","July","107","48","47","34","29","75","47","39","28","33","60","35","42","45","22","25","716"
"202506","2025","June","94","65","54","43","23","78","60","33","24","40","62","31","62","32","29","30","760"
"202505","2025","May","122","58","59","54","33","93","58","42","32","46","57","34","50","68","44","45","895"
"202504","2025","April","113","70","66","60","28","107","66","42","29","47","44","38","57","9","31","23","830"
"202503","2025","March","62","46","24","37","19","42","24","31","13","18","44","14","31",,"25","39","469"
"202502","2025","February","72","48","38","39","20","46","25","37","10","22","41","19","22",,"35","22","496"
"202501","2025","January","74","63","45","51","23","44","34","43","13","19","50","28","33",,"38","29","587"
"202412","2024","December","100","66","55","67","25","52","48","51","9","17","72","27","38",,"20","46","693"
"202411","2024","November","72","76","46","70","23","52","44","58","14","19","43","49","38",,"28","14","646"
"202410","2024","October","50","66","44","50","33","19","46","36","28","25","47","12","15",,"39","23","533"
"202409","2024","September","111","54","34","36","26","27","33","30","18","31","41","12","23",,"37","17","530"
"202408","2024","August","95","72","58","46","45","29","27","34","41","27","23","38","19",,"16","45","615"
"202407","2024","July","72","33","37","50","13","35","26","9","14","15","37","17","20",,"15","55","448"
"202406","2024","June","55","24","26","21","7","27","12","7","9","12","23","9","11",,"7","15","265"
"202405","2024","May","57","36","25","31","11","34","16","4","11","7","32","14","18",,"9","22","327"
"202404","2024","April","56","27","37","27","11","43","13","10","16","14","22","13","20",,"7","15","331"
"202403","2024","March","59","26","34","28","6","44","16","7","10","13","34","9","17",,"5","19","327"
"202402","2024","February","62","31","35","17","14","32","13","13","10","14","29","11","20",,"7","12","320"
"202401","2024","January","76","26","31","25","10","42","26","12","10","23","36","18","28",,"10","10","383"
"202312","2023","December","64","30","28","35","10","50","12","13","12","23","29","19","21",,"16","7","369"
"202311","2023","November","86","38","37","33","18","57","14","12","13","28","40","21","16",,"18","5","436"
"202310","2023","October","77","36","41","39","19","56","34","19","13","22","35","25","20",,"20","4","460"
"202309","2023","September","74","43","38","44","27","39","24","18","7","31","32","24","20",,"23","0","444"
"202308","2023","August","95","57","44","52","29","64","28","22","8","41","43","41","33",,"25","0","582"
"202307","2023","July","80","52","54","56","39","48","32","33","15","55","32","42","35",,"30","0","603"
"202306","2023","June","64","51","43","61","19","44","28","19","16","13","31","27","31",,"28","2","477"
"202305","2023","May","66","54","42","58","1","49","35","0","14","1","33","0","36",,"0","2","391"
"202304","2023","April","64","48","32","47","1","43","27","0","17","2","30","0","41",,"1","2","355"
"202303","2023","March","65","59","31","58","2","49","38","0","20","0","32","0","38",,"3","0","395"
"202302","2023","February","67","53","29","46","2","49","32","0","20","1","29","0","36",,"0","0","364"
"202301","2023","January","174","56","41","62","3","65","40","0","22","1","40","0","51",,"0","1","456"
